Country,City,Latitude,Longitude,Date,Max Temperature,Min Temperature,Wind Speed,Humidity,Cloudiness
GB,aberdeen,57.1437,-2.0981,1639872819,3.27,0.67,1.03,100,90
US,albany,42.6001,-73.9662,1639872857,2.6,-1.83,0.89,92,100
ID,padang,-0.9492,100.3543,1639872751,24.03,24.03,2.3,91,100
RU,igarka,67.4667,86.5833,1639872857,-38.6,-38.6,2.02,98,36
RU,ossora,59.2353,163.0719,1639872858,-19.14,-19.14,3.88,81,34
US,college,64.8569,-147.8028,1639872858,-11.03,-13.39,1.54,82,90
US,hilo,19.7297,-155.09,1639872858,26.82,24.11,2.06,59,90
CL,ancud,-41.8697,-73.8203,1639872859,16.74,16.74,2.99,85,65
MU,mahebourg,-20.4081,57.7,1639872859,23.47,23.47,0.76,77,51
BR,jardim de piranhas,-6.3786,-37.3519,1639872859,29.28,29.28,7.92,50,90
TO,vaini,-21.2,-175.2,1639872859,31.09,31.09,5.14,84,20
BW,sehithwa,-20.4667,22.7167,1639872860,18.67,18.67,4.14,79,62
ZA,port alfred,-33.5906,26.891,1639872860,18.21,18.21,10.17,77,21
ID,biak,-0.9131,122.8766,1639872860,27.58,27.58,0.26,72,91
RU,tiksi,71.6872,128.8694,1639872861,-30.51,-30.51,2.34,100,100
US,kapaa,22.0752,-159.319,1639872861,27.99,24.71,0.45,71,40
US,avera,33.194,-82.5271,1639872861,18.93,16.33,4.08,90,99
NZ,bluff,-46.6,168.3333,1639872861,24.33,24.33,6.8,62,89
FI,kajaani,64.2273,27.7285,1639872862,-1.97,-1.97,3.6,93,90
AR,ushuaia,-54.8,-68.3,1639872862,14.81,14.81,11.32,58,20
CA,thompson,55.7435,-97.8558,1639872863,-28.26,-28.26,1.23,100,69
AU,busselton,-33.65,115.3333,1639872863,17.8,17.8,0.85,59,2
IN,along,28.1667,94.7667,1639872863,8.02,8.02,0.73,55,0
RU,vanavara,60.34,102.2797,1639872863,-39.11,-39.11,1.86,98,32
RU,dudinka,69.4058,86.1778,1639872864,-40.84,-40.84,0.38,100,52
LK,hambantota,6.1241,81.1185,1639872864,24.63,24.63,6.37,87,88
SB,buala,-8.145,159.5921,1639872864,27.73,27.73,3.39,82,96
PF,atuona,-9.8,-139.0333,1639872864,25.67,25.67,5.3,72,18
PT,ribeira grande,38.5167,-28.7,1639872864,15.59,15.59,13.62,77,100
